feature,arxiv,dm_mathematics,github,hackernews,pile_cc,pubmed_central
cb_const1_rep1_diff,2.857142857142857,0.0,0.0,0.44150110375275936,1.0,0.0
cb_const1_rep2_diff,2.2857142857142856,0.0,0.0,0.44150110375275936,1.0,0.0
cb_const2,0.5714285714285714,0.0,0.0,1.1037527593818985,0.2857142857142857,0.0
cb_const2_rep1_diff,0.0,0.0,0.0,0.44150110375275936,0.4285714285714286,1.1627906976744187
cb_const2_rep2_diff,0.8571428571428572,0.0,0.0,0.44150110375275936,0.4285714285714286,0.5813953488372093
cb_const3,0.0,0.0,0.5319148936170213,0.44150110375275936,1.0,0.0
cb_const3_rep1_diff,1.7142857142857144,0.0,0.0,0.6622516556291391,0.5714285714285714,0.0
cb_const3_rep2_diff,1.4285714285714286,0.0,0.0,0.6622516556291391,0.5714285714285714,0.5813953488372093
cbm_200,0.0,0.0,0.0,0.44150110375275936,0.8571428571428572,0.0
cbm_200_rep1_diff,1.1428571428571428,0.0,0.0,0.22075055187637968,0.8571428571428572,0.872093023255814
cbm_200_rep2_diff,0.2857142857142857,0.0,0.0,0.6622516556291391,0.8571428571428572,0.872093023255814
cbm_300,0.0,0.0,0.0,0.6622516556291391,0.2857142857142857,0.0
cbm_300_rep1_diff,0.2857142857142857,0.0,0.0,0.44150110375275936,1.0,0.0
cbm_300_rep2_diff,0.0,0.0,0.0,0.0,1.0,0.29069767441860467
cbm_T,0.0,0.0,0.0,0.22075055187637968,0.4285714285714286,0.0
cbm_T_rep1_diff,0.0,0.0,0.0,1.1037527593818985,0.7142857142857143,0.0
cbm_T_rep2_diff,0.2857142857142857,1.5873015873015872,0.0,0.22075055187637968,0.5714285714285714,0.0
cbpm_200,0.0,1.5873015873015872,0.0,0.44150110375275936,0.8571428571428572,0.29069767441860467
cbpm_300,0.5714285714285714,0.0,0.0,0.44150110375275936,0.2857142857142857,1.1627906976744187
cbpm_T,0.0,0.0,0.0,0.6622516556291391,0.2857142857142857,1.1627906976744187
cut_200,21.714285714285715,71.42857142857143,42.02127659574468,6.622516556291391,2.142857142857143,18.8953488372093
cut_200_rep1_diff,20.857142857142858,42.857142857142854,37.765957446808514,5.960264900662252,1.4285714285714286,19.186046511627907
cut_200_rep2_diff,23.142857142857142,52.38095238095239,39.8936170212766,6.181015452538632,2.0,18.8953488372093
cut_300,15.428571428571427,68.25396825396825,25.53191489361702,5.298013245033113,1.7142857142857144,12.5
cut_300_rep1_diff,20.285714285714285,28.57142857142857,19.148936170212767,4.415011037527594,1.7142857142857144,13.953488372093023
cut_300_rep2_diff,18.285714285714285,31.746031746031743,22.872340425531913,4.415011037527594,1.8571428571428572,14.825581395348838
cut_T,5.714285714285714,73.01587301587301,15.425531914893616,3.7527593818984544,1.7142857142857144,19.186046511627907
cut_T_rep1_diff,9.142857142857142,0.0,2.6595744680851063,3.532008830022075,1.7142857142857144,9.883720930232558
cut_T_rep2_diff,7.7142857142857135,0.0,2.127659574468085,3.7527593818984544,1.8571428571428572,6.395348837209303
lz_bins3,1.4285714285714286,25.396825396825395,5.851063829787234,0.8830022075055187,1.8571428571428572,2.616279069767442
lz_bins3_rep1_diff,1.4285714285714286,0.0,0.0,0.22075055187637968,0.14285714285714285,0.0
lz_bins3_rep2_diff,1.4285714285714286,0.0,0.0,0.22075055187637968,0.14285714285714285,0.0
lz_bins4,5.428571428571429,31.746031746031743,1.0638297872340425,1.1037527593818985,0.8571428571428572,4.941860465116279
lz_bins4_rep1_diff,0.0,0.0,0.0,0.0,0.5714285714285714,0.0
lz_bins4_rep2_diff,0.0,0.0,0.0,0.0,0.5714285714285714,0.0
lz_bins5,2.2857142857142856,20.634920634920633,34.57446808510639,1.7660044150110374,0.7142857142857143,3.488372093023256
lz_bins5_rep1_diff,0.0,0.0,0.0,0.44150110375275936,0.14285714285714285,0.5813953488372093
lz_bins5_rep2_diff,0.0,0.0,0.0,0.44150110375275936,0.14285714285714285,0.29069767441860467
ppl_200,21.714285714285715,71.42857142857143,42.02127659574468,6.622516556291391,2.142857142857143,18.8953488372093
ppl_200_rep1_diff,22.285714285714285,23.809523809523807,39.8936170212766,6.843267108167771,1.2857142857142856,17.732558139534884
ppl_200_rep2_diff,21.714285714285715,34.92063492063492,40.95744680851064,6.843267108167771,1.2857142857142856,18.023255813953487
ppl_300,15.428571428571427,68.25396825396825,25.53191489361702,5.298013245033113,1.7142857142857144,12.5
ppl_300_rep1_diff,16.857142857142858,4.761904761904762,22.872340425531913,5.739514348785872,1.7142857142857144,14.534883720930234
ppl_300_rep2_diff,16.57142857142857,0.0,23.93617021276596,5.298013245033113,1.7142857142857144,13.953488372093023
ppl_T,5.714285714285714,73.01587301587301,15.425531914893616,3.7527593818984544,1.7142857142857144,19.186046511627907
ppl_T_rep1_diff,6.0,0.0,2.6595744680851063,3.532008830022075,1.7142857142857144,16.569767441860463
ppl_T_rep2_diff,6.0,0.0,2.6595744680851063,3.7527593818984544,1.8571428571428572,15.69767441860465
slope_1000,0.2857142857142857,0.0,0.0,1.7660044150110374,2.2857142857142856,0.29069767441860467
slope_600,0.5714285714285714,1.5873015873015872,0.0,1.3245033112582782,0.8571428571428572,0.0
slope_800,2.2857142857142856,0.0,0.0,1.9867549668874174,0.7142857142857143,0.5813953488372093
